player_id,nba_id,name,first_name,last_name,active,bbref_url
sawyeal01,78067,Alan Sawyer,Alan,Sawyer,False,https://www.basketball-reference.com/players/s/sawyeal01.html
scalabr01,2243,Brian Scalabrine,Brian,Scalabrine,False,https://www.basketball-reference.com/players/s/scalabr01.html
scaleal01,2637,Alex Scales,Alex,Scales,False,https://www.basketball-reference.com/players/s/scaleal01.html
scalede01,78068,Dewayne Scales,Dewayne,Scales,False,https://www.basketball-reference.com/players/s/scalede01.html
schadfr01,78069,Frank Schade,Frank,Schade,False,https://www.basketball-reference.com/players/s/schadfr01.html
schadbe01,78070,Ben Schadler,Ben,Schadler,False,https://www.basketball-reference.com/players/s/schadbe01.html
schaehe01,78071,Herm Schaefer,Herm,Schaefer,False,https://www.basketball-reference.com/players/s/schaehe01.html
schafbo01,78072,Bob Schafer,Bob,Schafer,False,https://www.basketball-reference.com/players/s/schafbo01.html
schakjo01,1630648,Jordan Schakel,Jordan,Schakel,False,https://www.basketball-reference.com/players/s/schakjo01.html
scharbe01,78073,Ben Scharnus,Ben,Scharnus,False,https://www.basketball-reference.com/players/s/scharbe01.html
schatma01,78074,Marv Schatzman,Marv,Schatzman,False,https://www.basketball-reference.com/players/s/schatma01.html
schaufr01,78075,Fred Schaus,Fred,Schaus,False,https://www.basketball-reference.com/players/s/schaufr01.html
schayda01,7,Dan Schayes,Dan,Schayes,False,https://www.basketball-reference.com/players/s/schayda01.html
schaydo01,78076,Dolph Schayes,Dolph,Schayes,False,https://www.basketball-reference.com/players/s/schaydo01.html
schecos01,78078,Ossie Schectman,Ossie,Schectman,False,https://www.basketball-reference.com/players/s/schecos01.html
schefst01,88,Steve Scheffler,Steve,Scheffler,False,https://www.basketball-reference.com/players/s/schefst01.html
schefto01,78080,Tom Scheffler,Tom,Scheffler,False,https://www.basketball-reference.com/players/s/schefto01.html
scheiba01,1631248,Baylor Scheierman,Baylor,Scheierman,True,https://www.basketball-reference.com/players/s/scheiba01.html
schelda01,78081,Dave Schellhase,Dave,Schellhase,False,https://www.basketball-reference.com/players/s/schelda01.html
schenlu01,101195,Luke Schenscher,Luke,Schenscher,False,https://www.basketball-reference.com/players/s/schenlu01.html
scherhe01,78082,Herb Scherer,Herb,Scherer,False,https://www.basketball-reference.com/players/s/scherhe01.html
schindw01,368,Dwayne Schintzius,Dwayne,Schintzius,False,https://www.basketball-reference.com/players/s/schindw01.html
schluda01,78084,Dale Schlueter,Dale,Schlueter,False,https://www.basketball-reference.com/players/s/schluda01.html
schneot01,78085,Otto Schnellbacher,Otto,Schnellbacher,False,https://www.basketball-reference.com/players/s/schneot01.html
schnidi01,78086,Dick Schnittker,Dick,Schnittker,False,https://www.basketball-reference.com/players/s/schnidi01.html
schoeru01,78087,Russ Schoene,Russ,Schoene,False,https://www.basketball-reference.com/players/s/schoeru01.html
schofad01,1629678,Admiral Schofield,Admiral,Schofield,False,https://www.basketball-reference.com/players/s/schofad01.html
scholda01,78088,Dave Scholz,Dave,Scholz,False,https://www.basketball-reference.com/players/s/scholda01.html
schoomi01,78089,Milt Schoon,Milt,Schoon,False,https://www.basketball-reference.com/players/s/schoomi01.html
schrede01,96,Detlef Schrempf,Detlef,Schrempf,False,https://www.basketball-reference.com/players/s/schrede01.html
schrode01,203471,Dennis Schröder,Dennis,Schröder,True,https://www.basketball-reference.com/players/s/schrode01.html
schulho01,78091,Howie Schultz,Howie,Schultz,False,https://www.basketball-reference.com/players/s/schulho01.html
