age,size_bucket,n_players,mean_delta_pts_per75,std_delta_pts_per75,mean_delta_ast_per75,std_delta_ast_per75,mean_delta_trb_per75,std_delta_trb_per75,mean_delta_stl_per75,std_delta_stl_per75,mean_delta_blk_per75,std_delta_blk_per75,mean_delta_vorp,std_delta_vorp,mean_delta_bpm,std_delta_bpm,mean_delta_ws_per_48,std_delta_ws_per_48,mean_delta_ts_pct,std_delta_ts_pct,mean_delta_per,std_delta_per
19,Guard,36,1.2188901260981275,1.7604370165955845,0.5837020404977068,1.1863785258681574,-0.13909130867346198,0.6984585831238808,0.06960973247242747,0.33271568211914293,0.00032273623175200356,0.1883356573879034,0.5277777777777777,0.6518593674410417,1.2722222222222221,1.904222542683363,0.02747222222222222,0.04705831404369393,0.015277777777777791,0.035986196648247634,1.652777777777778,2.232933510763826
20,Guard,107,1.2161780023432793,2.8033728947518877,0.12980893095426568,1.0490741802504726,0.02862261849002502,0.9352269693515743,0.03668258111239098,0.3474044057113183,0.024089119724522764,0.19933046586128683,0.5514018691588785,0.831611811425339,1.216822429906542,2.095434659341022,0.02560747663551402,0.04982587738093639,0.021728971962616823,0.048618959360629335,1.5532710280373832,2.9321033006143327
21,Guard,184,1.0310405363411517,2.5904100593250625,0.3295548761152461,1.2028534329884202,0.005702253779385481,0.8494150584260061,0.021695553654194677,0.3734576151336361,0.0010288558886018533,0.25680824366858407,0.4983146067415731,0.9255003056280646,1.0325842696629215,2.0201960681764164,0.017718232044198895,0.04783377641108693,0.012798913043478261,0.044752724359639645,1.2718232044198894,2.76106490963837
22,Guard,461,0.829945705981032,2.6575951455503395,0.11603453458166578,1.0650736552236104,-0.12713396177200176,0.8920592538376472,0.010966504132048409,0.41644287070020647,-0.004056780310016285,0.24095857844670596,0.3736413043478261,0.965359585772284,0.8125,2.0757733859609435,0.01475560538116592,0.050700272831004645,0.0129587852494577,0.04692770149087665,0.9903587443946187,2.8193905400069474
23,Guard,629,0.2138542748309954,2.4756550704590587,0.15244739051733514,1.1164674064237727,-0.03436846470491479,0.8345833127144724,-0.011006075353179847,0.39902901241704225,0.003539146053949003,0.2106409835579461,0.1680232558139535,0.9478257016050818,0.3040697674418605,1.9537474340097678,0.006858747993579454,0.044907936726892896,0.005513513513513515,0.04408874112700688,0.43418940609951845,2.5400273961260473
24,Guard,656,0.347168494187025,2.549527597736539,0.09334505410289946,1.0739530970791356,0.006555357866596109,0.7873590559583185,-0.0009551871103172657,0.3865334249006227,-0.005065564415130082,0.19421559874382546,0.2051923076923077,0.9582779802419701,0.3642307692307692,1.8990894747122367,0.00838845553822153,0.042582021488148734,0.005996951219512196,0.04141711107655129,0.4762870514820594,2.533173517047875
25,Guard,649,0.11898798929242242,2.5718786034061507,-0.06997403346722712,1.0394798627109203,-0.08343132886424622,0.8235081472705047,-0.0564571287093555,0.3827597107591946,-0.005189388212615975,0.17851368621637648,-0.048707753479125246,0.9649604785579602,-0.15029821073558647,1.8705504735878742,-0.0014700315457413249,0.044218256803656764,0.0014468412942989204,0.04072204062458852,-0.10536277602523661,2.6247159679514764
26,Guard,586,-0.2508831077734029,2.427416186162348,0.06331201690757027,1.0771350169565004,-0.08421703862178657,0.7349480226652378,-0.0266961349919067,0.38582994733148873,-0.019272120826660754,0.1895154763704248,-0.05898004434589803,1.0157330476288202,-0.24013303769401326,1.9437441486972955,-0.005697391304347827,0.04282529427125732,-0.002689419795221843,0.03997079006985084,-0.41095652173913055,2.472398493356813
27,Guard,531,-0.25733862417511527,2.490991070277566,-0.04082422504317244,1.0964568004458055,-0.027223311547550436,0.7576099473020604,-0.02367038214894983,0.36132875972889356,-0.0008351464178301094,0.18021321312242491,-0.10384615384615382,1.0544385203233984,-0.1391826923076923,1.9867217789071674,-0.004344894026974952,0.04390379232635225,-0.0014764595103578147,0.0416874818490273,-0.3394990366088632,2.5691969020540575
28,Guard,473,-0.24708120752104692,2.411187710411795,-0.04251806361605221,1.0735315211048178,-0.11622125196992186,0.7376159021918203,-0.01947183809411458,0.3503344762778361,-0.0043832403696096,0.1620675087948141,-0.12918918918918917,1.010439756094255,-0.27621621621621617,1.7689666748571868,-0.003252173913043478,0.040047323526366425,0.00011205073995771797,0.03863944210037107,-0.33934782608695657,2.481029463552352
