player_id,age,size_bucket,season,delta_pts_per75,delta_ast_per75,delta_trb_per75,delta_stl_per75,delta_blk_per75,delta_vorp,delta_bpm,delta_ws_per_48,delta_ts_pct,delta_per
abdelal01,22,Big,1991,0.18720193355231274,-0.5189563840521318,-1.0929780213063243,0.5795231807407261,-1.0833378656207096,0.1,1.9999999999999996,0.031,0.03400000000000003,0.40000000000000036
abdelal01,23,Big,1992,-0.845167517336737,-0.278452954279759,-0.8750698093729792,-0.49103045649410815,0.07335102507446944,-0.5,-1.2999999999999998,-0.036000000000000004,0.018000000000000016,-0.3000000000000007
abdulka01,22,Big,1970,4.1694644332406945,-0.3521516604030013,2.1303454938301094,,,,,0.139,0.05399999999999994,6.5
abdulka01,23,Big,1971,0.5876208146396777,0.7718334317958155,-0.40489485515807644,,,,,0.014000000000000012,-0.0030000000000000027,0.8999999999999986
abdulka01,24,Big,1972,-2.3569026302722236,0.45446646709196736,0.16318795282522025,,,,,-0.018000000000000016,-0.02300000000000002,-1.3999999999999986
abdulka01,25,Big,1973,-2.362820464657535,-0.1397394283822484,-1.1788602401492216,,,,,-0.07200000000000001,-0.016000000000000014,-4.100000000000001
abdulka01,26,Big,1974,3.851310059347206,-0.3199704023931922,0.3486288295354054,-0.2528464712217495,0.01954722493620409,-1.8999999999999995,0.09999999999999964,-0.024999999999999994,-0.013999999999999901,2.0
abdulka01,27,Big,1975,-1.506747524499339,0.799327963580748,2.5860582628720987,0.42715161743401553,0.7059528438679825,2.3,0.9000000000000004,0.016999999999999987,0.016999999999999904,0.8000000000000007
abdulka01,28,Big,1976,1.1364883903472887,-0.5565929014578792,-1.772890114545822,-0.1394201011877516,-0.4545689945788194,-0.3000000000000007,0.9000000000000004,0.04099999999999998,0.041000000000000036,0.6000000000000014
abdulka01,29,Big,1977,-0.22423613486867566,0.39130372140474323,-0.29583652909841973,0.46873186502768793,-0.16706720719204782,-2.1999999999999993,-0.09999999999999964,-0.025999999999999968,-0.019000000000000017,1.3999999999999986
abdulka01,30,Big,1978,-3.336646882085798,0.67886154881865,-0.8928775622640703,-0.7094361030356976,0.6739979484726573,1.2000000000000002,-1.700000000000001,-0.038000000000000006,0.02300000000000002,-3.6999999999999993
abdulka01,31,Big,1979,2.10928797504274,-0.5490520685450306,-1.179867919391837,0.05030973560751062,-0.34591081812035007,-0.40000000000000036,-0.39999999999999947,0.008000000000000007,0.027000000000000024,-0.1999999999999993
abdulka01,32,Big,1980,2.2848828587144894,-0.8722727689252303,-0.05960466561649369,-0.2466382368069583,-0.3443634679950076,-1.2000000000000002,-1.1000000000000005,0.0030000000000000027,-0.02300000000000002,0.1999999999999993
abdulka01,33,Big,1981,-0.6692471194002749,-0.18978233787253274,-0.9685435420330499,0.14580679517768558,-0.018740554193386938,-1.3999999999999995,-1.0999999999999996,-0.038000000000000006,-0.008000000000000007,-2.1000000000000014
abdulka01,34,Big,1982,-0.6549835897665979,-0.3378782365927373,-0.7094779000451918,0.05409592948126707,-0.3581642101482121,-0.5,-0.5,0.012999999999999984,0.01100000000000001,0.20000000000000284
abdulka01,35,Big,1983,-0.31015539769876455,0.10987537129151193,-0.2114441230541102,-0.10768242373587844,-0.4313942245058271,-0.9000000000000004,-1.5,-0.04199999999999998,-0.01100000000000001,-2.3000000000000007
abdulka01,36,Big,1984,0.024775095682219472,0.5741868092239852,0.4638873926849767,0.08943967861313173,0.27535942412911907,1.5,2.0999999999999996,0.04099999999999998,0.020000000000000018,1.5999999999999979
abdulka01,37,Big,1985,1.4791094585481517,0.31714824069438396,-1.906400931877858,-0.000103660153846441,-0.5295435767534644,0.10000000000000053,0.3000000000000007,-0.0069999999999999785,-0.025000000000000022,-0.1999999999999993
abdulka01,38,Big,1986,-4.803504285364667,-0.7384636426517037,1.1871671120656844,-0.16227204878347623,-0.32454409756695246,-2.7,-3.8000000000000003,-0.049000000000000016,-0.006000000000000005,-4.800000000000001
abdulka01,39,Big,1987,-1.7034536339629547,-0.8399291325272209,-0.13895841990725977,0.0659697598364638,0.1319395196729276,-1.0000000000000002,-1.6,-0.03699999999999999,-0.027000000000000024,-2.099999999999998
abdulka01,40,Big,1988,-2.4859476369180253,-0.5644283794499372,-0.4759645391906844,0.03050750244685463,0.21722291762555557,-1.2,-2.1,-0.028999999999999998,-0.05899999999999994,-2.9000000000000004
abdulma01,22,Guard,1965,5.497997228931217,0.6469504649866291,-0.8417111809971689,,,,,0.08600000000000001,0.07700000000000001,5.6
abdulma01,23,Guard,1966,-1.5312670933705341,0.5535831250609178,1.2171286756201987,,,,,-0.035,-0.025999999999999968,-1.0999999999999996
abdulma01,24,Guard,1967,8.16368429458641,-0.3071508301738133,-0.3825426219291592,,,,,0.032,0.030999999999999972,5.599999999999998
abdulma01,25,Guard,1968,-10.017478672499925,0.46799157195614427,-0.3911432775927124,,,,,-0.046,-0.046999999999999986,-6.799999999999999
abdulma01,26,Guard,1969,2.6198358422937567,0.22706646325936042,0.3069466869600652,,,,,0.03799999999999999,0.07200000000000001,3.0999999999999996
abdulma01,27,Guard,1970,0.6956670311972584,-0.6113378663180624,-0.36485067969478147,,,,,0.0020000000000000018,-0.007000000000000006,-0.1999999999999993
abdulma01,28,Guard,1971,0.5974660369684255,-0.1908043452788677,-0.3917360113419024,,,,,-0.022999999999999993,-0.01200000000000001,0.40000000000000036
abdulma01,29,Guard,1972,-4.298958169626145,-0.039816663894646,0.8393915695696315,,,,,0.0030000000000000027,-0.03899999999999998,-4.4
abdulma01,30,Guard,1973,-0.15088842581929107,1.7541202578774948,-0.3185762662730953,,,,,-0.01900000000000001,0.0010000000000000009,1.0999999999999996
